id	url	match_date_title	team_1	team_2	total_score	shoots_in_target_1	shoots_in_target_2	falls_1	falls_2	corners_1	corners_2	off_side_1	off_side_2	possession_1	possession_2	free_kicks_1	free_kicks_2	shots_from_gate_1	shots_from_gate_2	blocked_shots_1	blocked_shots_2	outs_1	outs_2	yellow_cards_1	yellow_cards_2	red_cards_1	red_cards_2
1103257	https://www.championat.com/football/_england/tournament/5467/match/1103257/	29 октября 2023, воскресенье. 17:00 МСК	Астон Вилла	Лутон Таун	3 : 1	17	7	11	10	6	4	0	6	71	29	16	11	4	10	6	4	9	8	3	2	0	0
1103053	https://www.championat.com/football/_england/tournament/5467/match/1103053/	30 декабря 2023, суббота. 18:00 МСК	Астон Вилла	Бёрнли	3 : 2	19	9	9	14	6	2	1	6	65	35	20	10	5	13	5	1	11	13	4	2	0	1
1103223	https://www.championat.com/football/_england/tournament/5467/match/1103223/	06 ноября 2023, понедельник. 23:00 МСК	Тоттенхэм Хотспур	Челси	1 : 4	8	17	12	21	1	6	3	7	39	61	28	15	10	2	2	3	21	10	2	5	2	0
1102871	https://www.championat.com/football/_england/tournament/5467/match/1102871/	30 марта 2024, суббота. 20:30 МСК	Астон Вилла	Вулверхэмптон	2 : 0	11	11	11	19	5	4	1	2	48	52	21	12	8	6	2	2	8	13	3	4	0	0
1103181	https://www.championat.com/football/_england/tournament/5467/match/1103181/	26 ноября 2023, воскресенье. 17:00 МСК	Тоттенхэм Хотспур	Астон Вилла	1 : 2	18	15	11	13	9	3	5	2	62	38	15	16	6	9	2	2	14	8	0	4	0	0
1103145	https://www.championat.com/football/_england/tournament/5467/match/1103145/	07 декабря 2023, четверг. 23:15 МСК	Тоттенхэм Хотспур	Вест Хэм Юнайтед	1 : 2	22	10	11	12	8	4	1	6	75	25	18	12	5	10	7	2	12	12	3	3	0	0
1103049	https://www.championat.com/football/_england/tournament/5467/match/1103049/	31 декабря 2023, воскресенье. 17:00 МСК	Тоттенхэм Хотспур	Борнмут	3 : 1	12	24	9	18	4	13	4	3	51	49	21	13	11	5	1	10	14	23	3	2	0	0
1103089	https://www.championat.com/football/_england/tournament/5467/match/1103089/	23 декабря 2023, суббота. 18:00 МСК	Тоттенхэм Хотспур	Эвертон	2 : 1	13	18	6	18	3	8	2	3	61	39	21	8	12	7	2	4	21	21	1	4	0	0
1103005	https://www.championat.com/football/_england/tournament/5467/match/1103005/	31 января 2024, среда. 22:30 МСК	Тоттенхэм Хотспур	Брентфорд	3 : 2	19	10	13	15	5	3	2	3	68	32	18	15	6	5	7	1	13	16	2	3	0	0
1102797	https://www.championat.com/football/_england/tournament/5467/match/1102797/	07 апреля 2024, воскресенье. 20:00 МСК	Тоттенхэм Хотспур	Ноттингем Форест	3 : 1	17	13	11	12	12	2	2	2	64	36	14	13	6	11	5	0	10	16	2	4	0	0
1103129	https://www.championat.com/football/_england/tournament/5467/match/1103129/	10 декабря 2023, воскресенье. 19:30 МСК	Тоттенхэм Хотспур	Ньюкасл Юнайтед	4 : 1	23	9	10	12	3	6	1	3	56	44	15	11	5	9	3	2	13	17	1	3	0	0
1102719	https://www.championat.com/football/_england/tournament/5467/match/1102719/	11 мая 2024, суббота. 17:00 МСК	Тоттенхэм Хотспур	Бёрнли	2 : 1	21	7	10	14	9	3	1	3	63	37	17	11	4	13	6	2	17	14	3	5	0	0
1103275	https://www.championat.com/football/_england/tournament/5467/match/1103275/	21 октября 2023, суббота. 19:30 МСК	Челси	Арсенал	2 : 2	11	13	7	14	2	7	2	1	43	57	15	9	6	6	2	5	17	10	3	3	0	0
1102969	https://www.championat.com/football/_england/tournament/5467/match/1102969/	10 февраля 2024, суббота. 18:00 МСК	Тоттенхэм Хотспур	Брайтон энд Хоув Альбион	2 : 1	16	6	14	13	9	6	4	6	53	47	19	18	2	5	7	2	21	22	2	3	0	0
1103431	https://www.championat.com/football/_england/tournament/5467/match/1103431/	13 августа 2023, воскресенье. 18:30 МСК	Челси	Ливерпуль	1 : 1	10	13	5	12	4	4	3	5	65	35	17	8	6	10	2	5	20	11	3	3	0	0
1102925	https://www.championat.com/football/_england/tournament/5467/match/1102925/	02 мая 2024, четверг. 21:30 МСК	Челси	Тоттенхэм Хотспур	2 : 0	16	19	12	16	4	9	1	2	39	61	18	13	12	9	2	9	12	21	0	1	0	0
1102857	https://www.championat.com/football/_england/tournament/5467/match/1102857/	30 марта 2024, суббота. 18:00 МСК	Тоттенхэм Хотспур	Лутон Таун	2 : 1	16	7	16	14	3	6	1	1	70	30	15	17	2	10	6	3	30	12	3	4	0	0
1103403	https://www.championat.com/football/_england/tournament/5467/match/1103403/	19 августа 2023, суббота. 19:30 МСК	Тоттенхэм Хотспур	Манчестер Юнайтед	2 : 0	13	20	9	8	5	6	1	4	57	43	12	10	8	7	3	7	18	18	1	3	0	0
1102821	https://www.championat.com/football/_england/tournament/5467/match/1102821/	04 апреля 2024, четверг. 22:15 МСК	Челси	Манчестер Юнайтед	4 : 3	28	19	7	15	12	3	3	0	56	44	15	10	11	6	9	7	11	13	3	1	0	0
1102905	https://www.championat.com/football/_england/tournament/5467/match/1102905/	02 марта 2024, суббота. 18:00 МСК	Тоттенхэм Хотспур	Кристал Пэлас	3 : 1	14	4	7	16	11	1	2	5	78	22	21	9	3	10	2	1	15	7	1	2	0	0
1102729	https://www.championat.com/football/_england/tournament/5467/match/1102729/	05 мая 2024, воскресенье. 16:00 МСК	Челси	Вест Хэм Юнайтед	5 : 0	25	12	12	10	8	6	1	0	71	29	10	13	6	2	7	3	7	16	1	3	0	0
